UniqueCount	AmbigCount
13	74
105	0
0	758
0	0
0	239
12	239
925	0
0	0
0	0
91	0
0	281
37	281
8	60
62	14
614	259
22	29
1239	4
60	0
0	0
79	3
30686	56
16	0
197	0
0	0
39	0
342	0
256	0
2330	0
64	0
0	0
51	0
1004	2
208	0
454	2
96	333
119	307
103	1717
35	1023
0	3815
494	0
5	0
169	0
22	0
294	0
406	0
242	0
19	0
4373	4524
398	4522
315	0
228	0
691	0
0	0
54	0
1648	1
869	0
137	0
0	0
0	202
0	202
279	2
0	0
170	0
37	0
57	0
48	0
130	0
0	0
49	0
24	0
46	0
371	0
3863	7
49	0
130	258
0	0
277	0
166	0
68	0
45	0
136	0
30	0
66	0
186	0
0	172
15	172
0	0
0	0
34	0
214	0
582	69
34	12
250	0
12	0
0	0
2695	11
0	0
212	3
34	0
75	23
0	318
0	318
60	0
59	0
285	0
0	22947
187	22947
213	2
247	0
464	0
5	0
239	0
0	10
0	10
28	0
25	0
19	0
177	0
81	0
10	278
0	278
662	0
0	0
33	0
174	0
442	0
272	0
1619	0
0	0
0	0
30	0
203	0
1	10
16114	24
232	1
0	120
0	120
5	0
67	4
0	11
0	11
109	0
0	44
0	44
318	0
287	0
189	0
602	0
85	0
82	0
184	0
740	0
315	5
1	0
80	0
187	0
438	4
242	1
13	0
0	408
0	408
46	0
213	51
0	7
0	10
219	0
0	0
307	5
100	10
186	0
306	0
269	0
106	0
78	0
5680	9
378	0
332	0
0	0
950	0
218	0
267	11
163	0
0	0
323	0
117	0
444	0
3	0
9	0
199	0
0	0
28	0
0	0
192	0
10	30
0	0
78	0
14	0
0	0
0	0
109	0
176	0
234	0
237	0
24	0
4847	8
506	1
120	0
209	0
0	302
0	302
50	0
166	0
76	0
179	0
612	0
0	0
878	0
390	0
7	0
773	1
605	0
128	0
76	0
0	0
109	0
29	773
70	773
0	0
0	17
0	17
2150	0
65	0
271	291
0	16
0	16
0	16
0	37
0	37
164	0
0	291
15	189
0	23
0	23
0	29
0	29
15	27
0	21
0	21
0	45
0	45
17	19
0	32
0	47
0	47
18	32
0	0
1624	1
325	18
93	0
376	0
219	0
394	3
28	0
4703	0
18	0
225	1
11	0
0	744
0	744
308	0
18	16
165	0
571	1
43	0
75	0
233	0
1	0
72	0
191	0
2	0
8	1030
99	1030
0	0
0	0
0	0
137	0
12	0
50	0
351	0
6	0
254	0
80	0
8	0
58	0
11	0
20	0
30	3
57	0
247	0
817	18
0	3
0	3
693	0
87	0
519	0
145	0
1478	643
1641	653
2077	0
227	0
85	0
16	0
194	0
87	0
0	0
0	0
0	546
0	546
53	0
314	146
0	747
1150	0
115	0
0	0
0	0
1217	3
353	1
641	0
94	0
175	0
362	0
8	922
0	922
194	0
134	0
0	0
35	0
330	0
66	0
0	717
0	717
0	0
0	241
0	241
876	4
18	0
36	0
27	0
49	0
15	0
80	0
529	1
290	0
174	0
0	81
14	0
0	0
152	0
167	0
19	0
0	4
0	0
0	252
27	252
0	0
0	0
0	0
163	10
0	0
144	1
24	0
104	2
149	0
0	21
0	0
67	1
0	44
11	44
0	109
4	109
148	0
74	0
3280	1
318	4
250	0
39	0
188	0
107	0
0	0
0	25
0	25
1217	0
628	0
54	1
45	0
0	369
4	369
28	10
0	0
4	1
0	0
12	10
651	0
9	1514
73	1514
103	0
0	0
34	0
44	0
425	0
12	0
30	0
72	1
66	0
0	0
0	29
73	0
294	0
181	0
97	0
9016	26
0	0
14	0
379	0
67	0
69	0
208	0
24937	42
165	0
4195	12
104	14
28	0
0	14
131	0
1379	1
147	0
108	1
2946	0
31	0
237	3
544	0
94	0
212	978
51	0
1516	3
314	0
0	0
0	0
0	8
0	0
103	190
1562	1
0	0
0	383
0	363
0	249
0	77
0	214
0	87
61	10
0	15
0	0
62	182
84	58
147	267
178	9
13	0
1889	1
0	56
0	125
0	1683
0	0
0	0
26	711
71	910
95	0
0	418
0	0
0	168
0	0
252	9
25	107
0	0
0	0
0	0
0	2
26	60
15	87
0	0
0	0
0	260
0	251
0	54
230	0
694	2
84	0
35	0
14	101
0	101
74	0
0	97
0	97
0	0
0	0
0	0
0	0
81	1
152	0
175	0
156	0
0	185
39	185
0	0
31	0
47	0
126	0
88	0
18	549
0	536
0	175
0	0
38	0
0	0
253	0
101	0
1682	2
72	0
132	0
0	40
0	40
160	0
72	0
115	0
0	302
0	302
193	0
12	344
0	344
146	0
0	0
131	0
0	0
15	0
548	0
256	0
0	0
189	0
2	0
0	0
0	0
14	0
116	0
670	0
246	0
143	0
310	0
14	0
1031	2
0	62
0	62
126	0
75	0
723	1
33	635
0	635
124	0
304	0
0	0
41	559
51	332
88	232
0	0
0	0
0	10
0	10
136	0
0	148
0	148
0	25
0	25
667	0
1217	0
16	0
46	0
112	0
336	0
10	0
281	0
198	0
178	0
327	0
29	0
1203	1
398	4
0	0
