Cre01.g000017.t1.1	CHLRE_01g000017v5
Cre01.g000033.t1.1	CHLRE_01g000033v5
Cre01.g000050.t1.1	CHLRE_01g000050v5
Cre01.g000100.t1.1	CHLRE_01g000100v5
Cre01.g000150.t1.1	CHLRE_01g000150v5
Cre01.g000200.t1.1	CHLRE_01g000200v5
Cre01.g000250.t1.1	CHLRE_01g000250v5
Cre01.g000300.t1.1	CHLRE_01g000300v5
Cre01.g000350.t1.1	CHLRE_01g000350v5
Cre01.g000400.t1.1	CHLRE_01g000400v5
Cre01.g000450.t1.1	CHLRE_01g000450v5
Cre01.g000500.t1.1	CHLRE_01g000500v5
Cre01.g000550.t1.1	CHLRE_01g000550v5
Cre01.g000600.t1.1	CHLRE_01g000600v5
Cre01.g000650.t1.1	CHLRE_01g000650v5
Cre01.g000700.t1.1	CHLRE_01g000700v5
Cre01.g000750.t1.1	CHLRE_01g000750v5
Cre01.g000800.t1.1	CHLRE_01g000800v5
Cre01.g000850.t1.1	CHLRE_01g000850v5
Cre01.g000900.t1.1	CHLRE_01g000900v5
Cre01.g000950.t1.1	CHLRE_01g000950v5
Cre01.g001000.t1.1	CHLRE_01g001000v5
Cre01.g001100.t1.1	CHLRE_01g001100v5
Cre01.g001150.t1.1	CHLRE_01g001150v5
Cre01.g001200.t1.1	CHLRE_01g001200v5
Cre01.g001250.t1.1	CHLRE_01g001250v5
Cre01.g001300.t1.1	CHLRE_01g001300v5
Cre01.g001350.t1.1	CHLRE_01g001350v5
Cre01.g001400.t1.1	CHLRE_01g001400v5
Cre01.g001450.t1.1	CHLRE_01g001450v5
Cre01.g001501.t1.1	CHLRE_01g001501v5
Cre01.g001550.t1.1	CHLRE_01g001550v5
Cre01.g001600.t1.1	CHLRE_01g001600v5
Cre01.g001650.t1.1	CHLRE_01g001650v5
Cre01.g001657.t1.1	CHLRE_01g001657v5
Cre01.g001664.t1.1	CHLRE_01g001664v5
Cre01.g001671.t1.1	CHLRE_01g001671v5
Cre01.g001678.t1.1	CHLRE_01g001678v5
Cre01.g001685.t1.1	CHLRE_01g001685v5
Cre01.g001700.t1.1	CHLRE_01g001700v5
Cre01.g001750.t1.1	CHLRE_01g001750v5
Cre01.g001800.t1.1	CHLRE_01g001800v5
Cre01.g001950.t1.1	CHLRE_01g001950v5
Cre01.g001983.t1.1	CHLRE_01g001983v5
Cre01.g002050.t1.1	CHLRE_01g002050v5
Cre01.g002100.t1.1	CHLRE_01g002100v5
Cre01.g002150.t1.1	CHLRE_01g002150v5
Cre01.g002200.t1.1	CHLRE_01g002200v5
Cre01.g002201.t1.1	CHLRE_01g002201v5
Cre01.g002203.t1.1	CHLRE_01g002203v5
Cre01.g002227.t1.1	CHLRE_01g002227v5
Cre01.g002234.t1.1	CHLRE_01g002234v5
Cre01.g002250.t1.1	CHLRE_01g002250v5
Cre01.g002300.t1.1	CHLRE_01g002300v5
Cre01.g002350.t1.1	CHLRE_01g002350v5
Cre01.g002400.t1.1	CHLRE_01g002400v5
Cre01.g002451.t1.1	CHLRE_01g002451v5
Cre01.g002500.t1.1	CHLRE_01g002500v5
Cre01.g002550.t1.1	CHLRE_01g002550v5
Cre01.g002600.t1.1	CHLRE_01g002600v5
Cre01.g002650.t1.1	CHLRE_01g002650v5
Cre01.g002700.t1.1	CHLRE_01g002700v5
Cre01.g002750.t1.1	CHLRE_01g002750v5
Cre01.g002787.t1.1	CHLRE_01g002787v5
Cre01.g002824.t1.1	CHLRE_01g002824v5
Cre01.g002861.t1.1	CHLRE_01g002861v5
Cre01.g002900.t1.1	CHLRE_01g002900v5
Cre01.g002950.t1.1	CHLRE_01g002950v5
Cre01.g003000.t1.1	CHLRE_01g003000v5
Cre01.g003050.t1.1	CHLRE_01g003050v5
Cre01.g003100.t1.1	CHLRE_01g003100v5
Cre01.g003150.t1.1	CHLRE_01g003150v5
Cre01.g003200.t1.1	CHLRE_01g003200v5
Cre01.g003250.t1.1	CHLRE_01g003250v5
Cre01.g003300.t1.1	CHLRE_01g003300v5
Cre01.g003376.t1.1	CHLRE_01g003376v5
Cre01.g003450.t1.1	CHLRE_01g003450v5
Cre01.g003463.t1.1	CHLRE_01g003463v5
Cre01.g003475.t1.1	CHLRE_01g003475v5
Cre01.g003487.t1.1	CHLRE_01g003487v5
Cre01.g003500.t1.1	CHLRE_01g003500v5
Cre01.g003508.t1.1	CHLRE_01g003508v5
Cre01.g003516.t1.1	CHLRE_01g003516v5
Cre01.g003524.t1.1	CHLRE_01g003524v5
Cre01.g003532.t1.1	CHLRE_01g003532v5
Cre01.g003541.t1.1	CHLRE_01g003541v5
Cre01.g003550.t1.1	CHLRE_01g003550v5
Cre01.g003600.t1.1	CHLRE_01g003600v5
Cre01.g003650.t1.1	CHLRE_01g003650v5
Cre01.g003700.t1.1	CHLRE_01g003700v5
Cre01.g003751.t1.1	CHLRE_01g003751v5
Cre01.g003800.t1.1	CHLRE_01g003800v5
Cre01.g003826.t1.1	CHLRE_01g003826v5
Cre01.g003850.t1.1	CHLRE_01g003850v5
Cre01.g003950.t1.1	CHLRE_01g003950v5
Cre01.g004000.t1.1	CHLRE_01g004000v5
Cre01.g004050.t1.1	CHLRE_01g004050v5
Cre01.g004124.t1.1	CHLRE_01g004124v5
Cre01.g004157.t1.1	CHLRE_01g004157v5
Cre01.g004200.t1.1	CHLRE_01g004200v5
Cre01.g004250.t1.1	CHLRE_01g004250v5
Cre01.g004300.t1.1	CHLRE_01g004300v5
Cre01.g004350.t1.1	CHLRE_01g004350v5
Cre01.g004400.t1.1	CHLRE_01g004400v5
Cre01.g004450.t1.1	CHLRE_01g004450v5
Cre01.g004500.t1.1	CHLRE_01g004500v5
Cre01.g004550.t1.1	CHLRE_01g004550v5
Cre01.g004600.t1.1	CHLRE_01g004600v5
Cre01.g004651.t1.1	CHLRE_01g004651v5
Cre01.g004700.t1.1	CHLRE_01g004700v5
Cre01.g004750.t1.1	CHLRE_01g004750v5
Cre01.g004800.t1.1	CHLRE_01g004800v5
Cre01.g004850.t1.1	CHLRE_01g004850v5
Cre01.g004900.t1.1	CHLRE_01g004900v5
Cre01.g004926.t1.1	CHLRE_01g004926v5
Cre01.g004950.t1.1	CHLRE_01g004950v5
Cre01.g005001.t1.1	CHLRE_01g005001v5
Cre01.g005050.t1.1	CHLRE_01g005050v5
Cre01.g005100.t1.1	CHLRE_01g005100v5
Cre01.g005126.t1.1	CHLRE_01g005126v5
Cre01.g005150.t1.1	CHLRE_01g005150v5
Cre01.g005200.t1.1	CHLRE_01g005200v5
Cre01.g005250.t1.1	CHLRE_01g005250v5
Cre01.g005300.t1.1	CHLRE_01g005300v5
Cre01.g005350.t1.1	CHLRE_01g005350v5
Cre01.g005400.t1.1	CHLRE_01g005400v5
Cre01.g005450.t1.1	CHLRE_01g005450v5
Cre01.g005500.t1.1	CHLRE_01g005500v5
Cre01.g005534.t1.1	CHLRE_01g005534v5
Cre01.g005543.t1.1	CHLRE_01g005543v5
Cre01.g005550.t1.1	CHLRE_01g005550v5
Cre01.g005600.t1.1	CHLRE_01g005600v5
Cre01.g005651.t1.1	CHLRE_01g005651v5
Cre01.g005701.t1.1	CHLRE_01g005701v5
Cre01.g005750.t1.1	CHLRE_01g005750v5
