UniqueCount	AmbigCount
16	55
105	3
16	680
0	0
3	358
23	358
759	3
0	0
0	0
260	1
0	212
21	212
13	51
74	32
228	113
3	13
1327	8
33	0
0	0
67	0
33683	120
1	0
297	0
0	0
86	0
153	1
312	1
1805	5
90	0
2	0
78	0
990	1
248	0
751	1
28	79
29	76
37	607
20	788
5	3768
323	0
39	0
304	2
19	0
219	1
718	4
156	1
35	0
5444	6356
577	6342
274	2
309	1
797	2
0	0
225	1
2724	5
822	6
241	1
0	0
9	204
1	204
180	2
16	0
124	0
17	0
128	0
156	0
174	0
52	0
45	0
19	0
4	0
375	1
4175	19
29	1
36	107
0	0
228	3
380	2
77	0
30	0
324	1
92	1
36	0
196	0
5	290
8	290
0	0
0	0
29	1
127	1
435	43
55	11
179	0
1	0
14	0
4236	17
0	1
216	24
101	0
80	27
2	393
4	393
1451	4
311	0
363	4
0	37327
164	37328
193	1
344	1
422	2
3	0
250	0
0	2
0	2
21	0
2	0
1	0
136	0
43	0
18	230
3	230
329	17
1	0
53	0
103	1
49	0
162	1
1311	6
215	1
26	0
43	0
232	13
25	19
23192	84
370	2
0	60
0	60
37	0
65	0
0	4
5	4
94	0
0	173
8	173
132	0
172	2
86	0
438	3
66	0
132	0
78	0
446	1
299	1
9	0
51	1
186	1
426	0
153	6
1	0
0	795
7	795
46	6
208	74
6	15
5	7
304	97
1	0
1538	140
133	64
199	0
236	3
437	4
115	2
94	4
5334	18
387	0
236	3
1	0
1133	5
185	0
212	1
223	1
0	0
232	1
175	0
544	3
11	0
1	0
175	0
5	0
18	0
0	0
166	0
0	12
0	0
285	1
2	3
0	3
7	4
128	1
236	1
259	1
190	1
42	0
4130	12
305	0
114	0
274	2
0	296
6	296
111	0
117	1
128	0
1072	6
465	2
3	0
830	2
280	1
4	0
757	3
425	0
94	0
53	0
2	0
247	0
4	647
48	647
0	0
0	3
0	3
2478	6
72	0
251	245
0	46
0	45
0	46
2	46
0	46
147	0
0	244
27	202
0	57
0	57
5	78
0	78
7	52
0	10
0	12
0	55
0	55
8	76
1	43
0	71
0	68
7	43
0	0
3896	17
531	1
37	0
483	2
280	1
567	4
28	0
4240	20
17	0
133	1
3	0
0	565
0	565
118	0
1	0
76	0
332	3
23	0
102	0
423	1
16	1
35	0
199	1
31	0
9	948
149	948
1	0
0	0
0	0
82	0
14	0
69	0
642	2
2	0
81	2
18	1
30	0
57	1
3	0
107	1
50	5
155	1
119	2
1051	17
1	72
1	71
765	4
114	0
920	4
157	0
4	3
2	3
1106	3
249	1
128	0
41	0
164	1
80	1
3	0
0	0
0	232
0	232
87	1
247	213
0	591
1360	5
183	1
0	0
0	1
972	1
198	2
354	0
34	0
265	0
545	1
10	1070
0	1070
302	2
118	0
1	0
3	2
289	0
135	0
0	9
0	9
0	0
0	441
20	441
944	3
138	0
10	0
3	0
166	0
26	0
85	1
373	1
197	0
165	0
0	102
45	0
6	0
190	3
205	0
19	1
0	2
0	0
0	255
7	255
0	0
0	0
0	0
175	8
2	0
160	5
18	0
59	2
129	3
1	5
2	2
64	4
3	115
4	115
